,name,star,review,rating,price,address
224,Hamilton Heights Lovely 2 Bedroom,2.0,,,,"Harlem, New York, NY"
225,Studio Apartment - Financial District,2.0,3.0,7.7,,"Wall Street - Financial District, New York, NY"
226,Four Bedroom Apartment - Union Square,2.0,,,,"New York, NY"
227,Broome Street Apartment - Lower East Side #19,1.0,14.0,6.9,,"New York, NY"
228,Luxurious Central Park South 2 Bedroom Apartment,2.0,,,,New York
229,onefinestay – Downtown East private homes II,5.0,3.0,9.0,,"East Village, New York"
230,Magnificent Central Park South One Bedroom Apartment,2.0,,,,New York
231,Manhattan Studio Apartment mid-west,2.0,8.0,8.3,,"Hell's Kitchen, New York, NY"
232,PermaGO FiDi,2.0,10.0,8.5,,"Wall Street - Financial District, New York, NY"
233,East Village Amazing 2 Bedroom,2.0,,,,"East Village, New York, NY"
234,Apartments Lincoln Center,2.0,25.0,7.9,,"Upper West Side, New York, NY"
235,Times Square Studio,2.0,5.0,9.8,,"New York, NY"
236,Park Ave Apartments Midtown Next to Times Square,3.0,54.0,7.1,,New York
237,One Bedroom Apartment - Allen Street # 28,2.0,25.0,7.7,,"Lower East Side, New York, NY"
238,East Village Beach Bungalow Getaway,2.0,,,,"Lower East Side, New York, NY"
239,My City House,2.0,34.0,7.0,,"New York, NY"
240,Room in Shared Apartment Steps from Times Square,,,,,"Hell's Kitchen, New York, NY"
241,Essex House 1,,,,,New York
242,Manhattan Studio Apartment mid-west,,8.0,8.3,,"Hell's Kitchen, New York, NY"
243,Global Luxury Suites at Ritz Plaza,,,,,"New York, NY"
244,Cozy Two Bedrooms,,8.0,6.4,,"East Village, New York"
245,Morningside Inn,1.0,70.0,5.9,,"Upper West Side, New York, NY"
246,Exclusive Studio,,,,,"New York, NY"
247,Studio Plus - Apartment Suites,,42.0,6.9,,"New York, NY"
248,Charming Studio in East Village,,7.0,6.8,,"East Village, New York"
249,Superior Times Square Apartments,,90.0,6.0,,"Hell's Kitchen, New York, NY"
250,Bryant Park Studio Apartment Times Square South,,6.0,7.9,,New York
251,Home NYC,,112.0,9.6,,"Harlem, New York, NY"
252,Financial District Studio Apartment,,17.0,6.8,,"Wall Street - Financial District, New York, NY"
253,The Nomad Suites,,12.0,6.6,,"New York, NY"
254,PermaGO FiDi,2.0,10.0,8.5,,"Wall Street - Financial District, New York, NY"
255,AKA Central Park,,1101.0,8.7,495.0,"New York, NY"
256,1 Hotel Central Park,,1292.0,9.1,770.0,"New York, NY"
257,Hotel Hugo,4.0,742.0,8.2,,"SoHo, New York, NY"
258,The Renwick,,1441.0,8.6,,"Murray Hill, New York, NY"
259,Andaz 5th Avenue,5.0,401.0,8.7,575.0,"New York, NY"
260,Walker Hotel Greenwich Village,,1553.0,8.7,525.0,"Greenwich Village, New York, NY"
261,Soho Grand Hotel,,2216.0,8.5,449.0,"SoHo, New York, NY"
262,Radisson Martinique on Broadway,,7045.0,8.2,395.0,"New York, NY"
263,"The Standard, High Line New York",,2329.0,8.3,485.0,"Greenwich Village, New York, NY"
264,Dream Downtown,,1509.0,8.1,425.0,"Chelsea, New York, NY"
265,Park Lane Hotel on Central Park,,7332.0,7.7,,"New York, NY"
266,InterContinental New York Times Square,,3196.0,8.0,495.0,"Hell's Kitchen, New York, NY"
267,Nomo Soho,,1671.0,8.2,,"SoHo, New York, NY"
268,"Langham Place, New York, Fifth Avenue",,910.0,9.2,806.0,"New York, NY"
269,Viceroy Central Park New York,,1720.0,8.3,544.0,"New York, NY"
270,Nolitan Hotel SoHo - New York,,926.0,8.7,509.0,"New York, NY"
271,Andaz 5th Avenue,5.0,401.0,8.7,575.0,"New York, NY"
272,Sheraton Tribeca New York Hotel,,2601.0,7.8,,"Tribeca, New York, NY"
273,Park South Hotel,,334.0,8.5,499.0,"New York, NY"
274,"Hudson New York, Central Park",,6965.0,7.2,,"Hell's Kitchen, New York, NY"
275,Hotel Hugo,4.0,742.0,8.2,,"SoHo, New York, NY"
276,Soho Grand Hotel,,2216.0,8.5,449.0,"SoHo, New York, NY"
277,Hotel Boutique at Grand Central,,1620.0,8.5,389.0,"Midtown East, New York, NY"
278,Arlo Hudson Square,4.0,413.0,8.6,399.0,"SoHo, New York, NY"
279,The Knickerbocker,,2464.0,9.0,595.0,"New York, NY"
280,The Quin,,1806.0,8.7,669.0,"New York, NY"
281,Radisson Martinique on Broadway,,7045.0,8.2,395.0,"New York, NY"
282,Dream Downtown,,1509.0,8.1,425.0,"Chelsea, New York, NY"
283,Park Lane Hotel on Central Park,,7332.0,7.7,,"New York, NY"
284,"The Standard, High Line New York",,2329.0,8.3,485.0,"Greenwich Village, New York, NY"
285,Dream Midtown,,1243.0,8.3,,"New York, NY"
286,Walker Hotel Greenwich Village,4.0,1553.0,8.7,525.0,"Greenwich Village, New York, NY"
287,Radisson Martinique on Broadway,,7045.0,8.2,395.0,"New York, NY"
288,Soho Grand Hotel,,2216.0,8.5,449.0,"SoHo, New York, NY"
289,Arlo Hudson Square,4.0,413.0,8.6,399.0,"SoHo, New York, NY"
290,Hotel Hugo,4.0,742.0,8.2,,"SoHo, New York, NY"
291,Andaz 5th Avenue,5.0,401.0,8.7,575.0,"New York, NY"
292,AKA Central Park,,1101.0,8.7,495.0,"New York, NY"
293,Nomo Soho,,1671.0,8.2,,"SoHo, New York, NY"
294,Dream Downtown,,1509.0,8.1,425.0,"Chelsea, New York, NY"
295,Cassa Hotel 45th Street,,1562.0,8.7,504.0,"New York, NY"
296,1 Hotel Central Park,,1292.0,9.1,770.0,"New York, NY"
297,"The Standard, High Line New York",,2329.0,8.3,485.0,"Greenwich Village, New York, NY"
298,Park Lane Hotel on Central Park,,7332.0,7.7,,"New York, NY"
299,Walker Hotel Greenwich Village,,1553.0,8.7,525.0,"Greenwich Village, New York, NY"
300,InterContinental New York Times Square,,3196.0,8.0,495.0,"Hell's Kitchen, New York, NY"
301,"Langham Place, New York, Fifth Avenue",,910.0,9.2,806.0,"New York, NY"
302,Viceroy Central Park New York,,1720.0,8.3,544.0,"New York, NY"
303,Element Times Square West,3.0,7726.0,8.4,409.0,"Hell's Kitchen, New York, NY"
304,Sofitel New York,5.0,1098.0,8.6,,"New York, NY"
305,Hotel 32 32,4.0,1679.0,8.1,342.0,"New York, NY"
306,Hotel Hugo,4.0,742.0,8.2,,"SoHo, New York, NY"
307,The Time New York,,2659.0,8.0,479.0,"New York, NY"
308,Arlo Hudson Square,4.0,413.0,8.6,399.0,"SoHo, New York, NY"
309,The Roger,4.0,2616.0,8.5,355.0,"New York, NY"
310,Warwick New York,5.0,2946.0,8.7,530.0,"New York, NY"
311,Royalton Times Square,4.0,620.0,8.1,,"New York, NY"
312,The London NYC,5.0,1585.0,8.5,699.0,"New York, NY"
313,Soho Grand Hotel,4.0,2216.0,8.5,449.0,"SoHo, New York, NY"
314,The Quin,5.0,1806.0,8.7,669.0,"New York, NY"
315,Radisson Martinique on Broadway,4.0,7045.0,8.2,395.0,"New York, NY"
316,Dream Downtown,4.0,1509.0,8.1,425.0,"Chelsea, New York, NY"
317,Gansevoort Park Hotel NYC,4.0,827.0,8.8,401.0,"New York, NY"
318,Wellington Hotel,3.0,5345.0,7.5,359.0,"New York, NY"
319,Arlo Hudson Square,4.0,413.0,8.6,399.0,"SoHo, New York, NY"
320,Cassa Hotel 45th Street,4.0,1562.0,8.7,504.0,"New York, NY"
321,Hotel Hugo,4.0,742.0,8.2,,"SoHo, New York, NY"
322,Radisson Martinique on Broadway,4.0,7045.0,8.2,395.0,"New York, NY"
323,Soho Grand Hotel,4.0,2216.0,8.5,449.0,"SoHo, New York, NY"
324,The Court - A St Giles Hotel,4.0,1449.0,7.9,359.0,"Murray Hill, New York, NY"
325,Nomo Soho,4.0,1671.0,8.2,,"SoHo, New York, NY"
326,Andaz 5th Avenue,5.0,401.0,8.7,575.0,"New York, NY"
327,Viceroy Central Park New York,5.0,1720.0,8.3,544.0,"New York, NY"
328,The Tuscany - A St Giles Signature Hotel,4.0,713.0,8.6,349.0,"Murray Hill, New York, NY"
329,New York Marriott Marquis,4.0,6114.0,8.2,531.0,"New York, NY"
330,Park Lane Hotel on Central Park,5.0,7332.0,7.7,,"New York, NY"
331,HGU New York,4.0,264.0,8.7,439.0,"New York, NY"
332,The Bernic Hotel,4.0,,,377.0,"Midtown East, New York"
333,AKA Times Square,4.0,832.0,8.8,455.0,"New York, NY"
334,Dream Downtown,4.0,1509.0,8.1,425.0,"Chelsea, New York, NY"
335,Ramada New York Eastside,,2348.0,7.7,245.0,"Kips Bay, New York, NY"
336,The London NYC,,1585.0,8.5,699.0,"New York, NY"
337,The Gregory,,1593.0,8.1,399.0,"New York, NY"
338,Hotel Hugo,4.0,742.0,8.2,,"SoHo, New York, NY"
339,The Standard - East Village,4.0,454.0,8.6,479.0,"East Village, New York, NY"
340,The Roxy Hotel Tribeca,4.0,965.0,8.8,373.0,"Tribeca, New York, NY"
341,Row NYC at Times Square,4.0,9904.0,7.2,332.0,"New York, NY"
342,Wyndham Garden Chinatown,4.0,870.0,8.2,399.0,"Chinatown, New York, NY"
343,New York Marriott Marquis,4.0,6114.0,8.2,531.0,"New York, NY"
344,Courtyard by Marriott New York Manhattan/Chelsea,,1686.0,8.6,288.0,"Chelsea, New York, NY"
345,AKA Central Park,,1101.0,8.7,495.0,"New York, NY"
346,The Renwick,,1441.0,8.6,559.0,"Murray Hill, New York, NY"
347,1 Hotel Central Park,,1292.0,9.1,770.0,"New York, NY"
